Run Date,Account,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 06/26/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED EURONAV NPV (EURN) (Cash), EURN, EURONAV NPV,Cash,,,,,,4.05,
 06/26/2020,UNINCORPORATED ASSN Z40056926, FOREIGN TAX PAID EURONAV NPV (EURN) (Cash), EURN, EURONAV NPV,Cash,,,,,,-1.22,
 06/25/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD EURONAV NPV (EURN) (Cash), EURN, EURONAV NPV,Cash,-4,8.09,,0.01,,32.36,6/29/20
 06/25/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED SELECT SECTOR SPDR TRUST TECHNOLOGY SEL (XLK) (Cash), XLK, SELECT SECTOR SPDR TRUST TECHNOLOGY SEL,Cash,,,,,,0.56,
 06/19/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TRUST ISHARES CORE HIGH DIVIDEN (HDV) (Cash), HDV, ISHARES TRUST ISHARES CORE HIGH DIVIDEND,Cash,,,,,,0.88,
 06/19/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TRUST ISHARES MSCI INDIA ETF US (INDA) (Cash), INDA, ISHARES TRUST ISHARES MSCI INDIA ETF USD,Cash,,,,,,0.38,
 06/19/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES MORNINGSTAR LARGE-CAP ETF (JKD) (Cash), JKD, ISHARES MORNINGSTAR LARGE-CAP ETF,Cash,,,,,,0.56,
 06/19/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED ISHARES TR GL TIMB FORE ETF (WOOD) (Cash), WOOD, ISHARES TR GL TIMB FORE ETF,Cash,,,,,,1.18,
 06/15/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD ISHARES TRUST ISHARES CORE HIGH DIVIDEN (HDV) (Cash), HDV, ISHARES TRUST ISHARES CORE HIGH DIVIDEND,Cash,-1,81.76,,0.01,,81.75,6/17/20
 06/15/2020,UNINCORPORATED ASSN Z40056926, DIVIDEND RECEIVED NEXTERA ENERGY INC COM USD0.01 (NEE) (Cash), NEE, NEXTERA ENERGY INC COM USD0.01,Cash,,,,,,0.7,
 06/11/2020,UNINCORPORATED ASSN Z40056926, YOU SOLD 20160N8PBN VALE S.A. SPONS ADS REPR 1 COM NPV (VALE) (Cash), VALE, VALE S.A. SPONS ADS REPR 1 COM NPV,Cash,-15,10.3,,0.01,,154.42,6/15/20
 06/10/2020,UNINCORPORATED ASSN Z40056926, YOU BOUGHT STAG INDL INC COM (STAG) (Cash), STAG, STAG INDL INC COM,Cash,4,28.36,,,,-113.44,6/12/20
